user_id,catch_item.x,catch_item.y,catch_item.x.x,catch_item.y.y,catch_item.x.x.x,catch_item.y.y.y,catch_item.x.x.x.x,catch_item.y.y.y.y,catch_item.x.x.x.x.x,catch_item.y.y.y.y.y,catch_item.x.x.x.x.x.x,catch_item.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y.y,catch_item.x.x.x.x.x.x.x.x.x.x.x.x,catch_item.y.y.y.y.y.y.y.y.y.y.y.y
gi_pi_2001_06_27_869_f,5,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Molte volte,Molte volte,Un poco,Un poco
sa_lu_2002_10_25_220_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,2,1,2,1,1,2,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
vi_am_1998_01_20_658_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Per niente,Per niente
sa_pa_2001_11_27_632_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ir_vi_2002_10_23_179_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Per niente,Per niente
al_ne_2002_06_30_405_f,3,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Un poco,Un poco
ma_pi_1992_09_01_359_f,2,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,4,1,4,1,1,4,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
lo_pa_2002_01_01_246_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,In disaccordo,In disaccordo,3,1,3,1,1,3,1,0,0,0,Circa la metà delle volte,Circa la metà delle volte,Un poco,Un poco
al_fo_1998_12_05_663_f,2,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Mi è capitato con una certa frequenza,Fortemente in disaccordo,Fortemente in disaccordo,1,1,1,1,1,1,1,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
ce_to_2000_07_02_554_f,1,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,Mi è capitato qualche volta,D'accordo,D'accordo,1,3,1,3,3,1,3,3,3,3,A volte,A volte,Per niente,Per niente
sa_ma_1996_12_29_720_f,1,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,1,1,1,1,1,1,1,0,0,0,A volte,A volte,Moderatamente,Moderatamente
gi_si_2002_04_23_023_f,4,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,Non mi è mai accaduto,In disaccordo,In disaccordo,5,4,5,4,4,5,4,0,0,0,Quasi mai,Quasi mai,Per niente,Per niente
